pi_dep,core_CPI_annualised_percent_change,unemployment_rate,10Y_Treasury_rate,3M_Treasury_rate,log_industrial_production,PPI_commodity
1.7228567999999997,6.3616833,7.7,12.63,9.69,3.98571,3.58566
-1.0901826999999997,3.5419969,7.4,13.41,9.83,3.99103,3.27381
-0.06759700000000013,4.6263676,7.2,13.56,9.87,3.99466,2.9703
0.8624358000000001,5.6354824,7.5,13.36,10.12,3.99744,2.86278
0.6532488000000001,5.5348117,7.5,12.72,10.47,3.99864,1.96464
0.25531229999999994,5.2731899,7.3,12.52,10.37,3.99581,1.37255
-0.20905939999999923,4.9133513,7.4,12.16,9.74,3.9954,1.17417
-0.9657812999999997,4.1204516,7.2,11.57,8.61,3.99873,1.56709
-0.11991170000000029,4.8314881,7.3,11.5,8.06,3.99922,1.17302
-2.0559791,2.978878,7.3,11.38,7.76,3.9987,0.48591
1.9278806,6.6422904,7.2,11.51,8.27,4.00163,0.0969
0.14383549999999978,5.0039279,7.2,11.86,8.52,4.00309,-0.76997
-1.0852117,3.8651635,7.3,11.43,7.95,4.00089,-0.67308
2.1865215000000005,6.9293718,7.2,10.85,7.48,4.00259,-0.57637
-0.1781454,4.8460657,7.4,10.16,6.95,4.00206,-0.67308
-0.7044081000000002,4.3381631,7.4,10.31,7.08,3.99703,-0.95969
0.5640343000000003,5.4984924,7.1,10.33,7.14,4.00026,-1.05973
-1.5588753999999994,3.3725729,7.1,10.37,7.1,4.00396,-1.25725
1.4109240000000005,6.1831801,7.1,10.24,7.16,4.00045,-0.48356
2.3468297,7.2241808,7.0,9.78,7.24,4.00391,-0.2893
-1.7174351000000003,3.4169472,7.0,9.26,7.1,4.01377,0.09662
1.1318053,6.1472311,6.7,9.19,7.07,4.019,-0.19342
-0.7070556999999997,4.5738972,7.2,8.7,7.06,4.01211,-1.54889
1.1387845999999993,6.24804,7.2,7.78,6.56,4.00502,-2.71581
0.32566499999999987,5.5381411,7.1,7.3,6.06,4.00615,-3.5818
-2.3506205,3.0020469,7.2,7.71,6.15,4.00806,-3.38164
-0.15189089999999972,4.8727662,7.2,7.8,6.21,4.00416,-3.29138
-1.4782348,3.5486509,7.0,7.3,5.83,4.01036,-3.68217
-1.1022147000000002,3.8582132,6.9,7.17,5.53,4.00865,-3.31061
0.026618299999999984,4.8500746,7.0,7.45,5.21,4.01139,-2.64447
0.4390920999999999,5.3865912,7.0,7.43,5.18,4.01564,-3.10982
-1.3578926999999998,3.5237698,6.9,7.25,5.35,4.01955,-3.48162
-0.2077314999999995,4.3674213,6.6,7.11,5.53,4.02906,-3.76448
-0.4722784999999998,4.1826321,6.6,7.08,5.43,4.02519,-2.61628
-0.40210219999999985,4.0900078,6.6,7.25,5.59,4.03843,-0.6883
-0.3287867000000002,4.1229451,6.6,7.25,5.59,4.03978,0.89731
2.4240006999999997,6.7000186,6.3,8.02,5.64,4.04629,2.30924
-0.6765068999999997,3.6946968,6.3,8.61,5.66,4.05252,2.6
-2.4306415,1.9988708,6.2,8.4,5.67,4.05786,3.1031
-0.7492210999999998,3.4387634,6.1,8.45,5.69,4.06461,4.12475
1.0549270000000002,5.2336931,6.0,8.76,6.04,4.07207,4.53172
0.7125162000000005,5.0055674,5.9,9.42,6.4,4.07599,4.32596
1.7012836,6.0072149,6.0,9.52,6.13,4.08935,4.41324
-1.1585124000000002,3.1984696,5.8,8.86,5.69,4.09427,4.40882
-0.4158542999999999,3.9137617,5.7,8.99,5.77,4.09974,4.51354
0.8718849999999998,5.1636342,5.7,8.67,5.81,4.09948,4.0796
-0.2545666000000004,4.1186674,5.7,8.21,5.66,4.1045,3.76238
0.5318163,4.9074448,5.7,8.37,5.7,4.10669,3.65613
1.4653862000000002,5.9063231,5.4,8.72,5.91,4.11264,3.82728
-0.003553499999999765,4.3724207,5.6,9.09,6.26,4.11062,3.80117
0.4205249000000002,4.8531775,5.4,8.92,6.46,4.11352,4.07767
-0.9047847000000004,3.7683335,5.4,9.06,6.73,4.11367,4.25121
0.2122856999999998,4.9131553,5.6,9.26,7.06,4.11866,4.04624
0.8978213999999998,5.5720776,5.4,8.98,7.24,4.11543,4.24301
-0.08227890000000038,4.6389216,5.4,8.8,7.35,4.11983,3.93852
0.20033619999999974,4.8082236,5.3,8.96,7.76,4.12236,3.93474
-0.266648,4.476255,5.3,9.11,8.07,4.12689,4.60653
-0.12908419999999943,4.6609505,5.4,9.09,8.27,4.12984,5.64054
-0.20731880000000036,4.5408827,5.2,9.17,8.53,4.12538,5.72519
-0.2732865000000002,4.5102467,5.0,9.36,8.82,4.12795,6.29171
-0.4336437999999996,4.3167711,5.2,9.18,8.65,4.1276,6.14367
1.2513015000000003,5.8697895,5.2,8.86,8.43,4.12207,6.29108
0.13878590000000024,4.8815339,5.3,8.28,8.15,4.12205,5.31716
0.8048463000000003,5.5499545,5.2,8.02,7.88,4.11234,4.54124
-0.45565759999999944,4.43815,5.2,8.11,7.9,4.12204,3.7037
-1.4869103,3.3672385,5.3,8.19,7.75,4.1187,3.9778
1.5762690999999993,6.2461603,5.3,8.01,7.64,4.11743,4.25139
-0.059069599999999944,4.7438638,5.4,7.87,7.69,4.12079,4.06279
0.055401400000000045,4.8529702,5.4,7.84,7.63,4.12647,3.66972
0.7570142999999998,5.5860207,5.4,8.21,7.64,4.12123,3.9819
