8.1207912,6.4,3.866,6.36943,7.96,6.44
6.1347283,6.3,3.87141,6.29921,8.03,6.45
8.1843606,6.3,3.89051,6.24025,8.04,6.29
8.6157113,6.1,3.91017,6.31741,8.15,6.29
9.5875018,6.0,3.91504,6.59509,8.35,6.41
9.5693931,5.9,3.92148,7.69231,8.46,6.73
10.7232464,6.2,3.92073,8.14132,8.64,7.01
9.6237288,5.9,3.92473,8.30769,8.41,7.08
12.185544,6.0,3.92717,8.72894,8.42,7.85
11.5199224,5.8,3.93481,9.45122,8.64,7.99
9.063013,5.9,3.94247,9.57447,8.81,8.64
5.5617488,6.0,3.94751,9.81873,9.01,9.08
8.2696406,5.9,3.94207,10.47904,9.1,9.35
12.1330242,5.9,3.94697,10.96296,9.1,9.32
9.4204876,5.8,3.95005,11.3069,9.12,9.48
11.5488394,5.8,3.93818,11.44928,9.18,9.46
11.5587321,5.6,3.94697,11.51079,9.25,9.61
11.8214486,5.7,3.94713,11.42857,8.91,9.06
13.590434,5.7,3.94551,12.5,8.95,9.24
14.8711149,6.0,3.93897,13.06818,9.03,9.52
12.7690009,5.9,3.9389,13.94366,9.33,10.26
14.8636051,6.0,3.9458,14.3454,10.3,11.7
17.2020558,5.9,3.94418,14.56311,10.65,11.79
15.0734187,6.0,3.94487,14.71802,10.39,12.04
17.0575917,6.3,3.95017,15.44715,10.8,12.0
13.6814793,6.3,3.95054,16.02136,12.41,12.86
18.1899071,6.3,3.94634,15.43536,12.75,15.2
16.6098739,6.9,3.92631,14.17425,11.47,13.2
15.8324435,7.5,3.9015,13.93548,10.18,8.58
19.7483986,7.6,3.88851,13.71795,9.78,7.07
-4.29044,7.8,3.88137,14.01515,10.25,8.06
4.8481175,7.7,3.88456,14.94975,11.1,9.13
10.6300956,7.5,3.90112,13.34981,11.51,10.27
14.8201744,7.5,3.91374,13.03289,11.75,11.62
14.573103,7.5,3.93027,12.83293,12.68,13.73
12.8261817,7.2,3.93685,12.47002,12.84,15.49
9.0066702,7.5,3.93051,11.73709,12.57,15.02
4.438437,7.4,3.92639,10.58688,13.19,14.79
7.0954996,7.4,3.93145,10.85714,13.12,13.36
9.1184829,7.2,3.92723,11.61731,13.68,13.69
14.4785798,7.5,3.93291,11.32503,14.1,16.3
14.7215752,7.5,3.93811,11.04848,13.47,14.73
19.3306069,7.2,3.9446,9.63455,14.28,14.95
11.6058629,7.4,3.94333,8.19672,14.94,15.51
15.5999096,7.6,3.93853,7.74264,15.32,14.7
3.5428879,7.9,3.93077,6.57328,15.15,13.54
5.7309089,8.3,3.91909,6.00858,13.39,10.86
4.9070306,8.5,3.90819,5.33049,13.72,10.85
4.4988561,8.6,3.88748,4.72689,14.59,12.28
5.2424763,8.9,3.90769,3.85016,14.43,13.48
-0.2797992,9.0,3.90092,2.68041,13.86,12.68
11.4338247,9.3,3.89164,1.63265,13.87,12.7
14.1241922,9.4,3.885,1.52594,13.62,12.09
12.5354133,9.6,3.88242,1.52284,14.3,12.47
6.9556238,9.8,3.87903,1.41414,13.95,11.35
4.8460294,9.8,3.86991,1.31313,13.06,8.68
-0.6852859,10.1,3.86732,1.21457,12.34,7.92
3.5356227,10.4,3.85773,1.31446,10.91,7.71
-2.066452,10.8,3.85456,1.51822,10.55,8.07
-7.0428425,10.8,3.84741,1.72065,10.54,7.94
6.6357165,10.4,3.86577,0.5015,10.46,7.86
4.4183307,10.4,3.85964,0.7014,10.72,8.11
2.391151,10.3,3.86792,0.80321,10.51,8.35
6.4427931,10.2,3.8805,0.80321,10.4,8.21
2.8111097,10.1,3.88664,1.002,10.38,8.19
3.6826367,10.1,3.89271,1.0,10.85,8.79
4.3313647,9.4,3.90749,0.89641,11.38,9.08
3.9026676,9.5,3.91928,1.49551,11.85,9.34
4.0238411,9.2,3.93366,2.0,11.65,9.0
5.3475926,8.8,3.94139,1.99601,11.54,8.64
5.7370296,8.5,3.94586,1.79462,11.69,8.76
3.836296,8.3,3.9508,1.79104,11.83,9.0
6.8248157,8.0,3.97046,2.69461,11.67,8.9
4.8779091,7.8,3.97497,2.68657,11.84,9.09
3.925095,7.8,3.97973,3.48606,12.32,9.52
6.3616833,7.7,3.98571,3.58566,12.63,9.69
3.5419969,7.4,3.99103,3.27381,13.41,9.83
4.6263676,7.2,3.99466,2.9703,13.56,9.87
5.6354824,7.5,3.99744,2.86278,13.36,10.12
5.5348117,7.5,3.99864,1.96464,12.72,10.47
5.2731899,7.3,3.99581,1.37255,12.52,10.37
4.9133513,7.4,3.9954,1.17417,12.16,9.74
4.1204516,7.2,3.99873,1.56709,11.57,8.61
4.8314881,7.3,3.99922,1.17302,11.5,8.06
2.978878,7.3,3.9987,0.48591,11.38,7.76
6.6422904,7.2,4.00163,0.0969,11.51,8.27
5.0039279,7.2,4.00309,-0.76997,11.86,8.52
3.8651635,7.3,4.00089,-0.67308,11.43,7.95
6.9293718,7.2,4.00259,-0.57637,10.85,7.48
4.8460657,7.4,4.00206,-0.67308,10.16,6.95
4.3381631,7.4,3.99703,-0.95969,10.31,7.08
5.4984924,7.1,4.00026,-1.05973,10.33,7.14
3.3725729,7.1,4.00396,-1.25725,10.37,7.1
6.1831801,7.1,4.00045,-0.48356,10.24,7.16
7.2241808,7.0,4.00391,-0.2893,9.78,7.24
3.4169472,7.0,4.01377,0.09662,9.26,7.1
6.1472311,6.7,4.019,-0.19342,9.19,7.07
4.5738972,7.2,4.01211,-1.54889,8.7,7.06
6.24804,7.2,4.00502,-2.71581,7.78,6.56
5.5381411,7.1,4.00615,-3.5818,7.3,6.06
